TOT_POP,POP_ESTIMATE_2018,Obesity_number,Heart disease_number,CKD_number,charges
2113.0,2113.0,610.0,207.0,73.0,904
3499.0,3499.0,1012.0,219.0,96.0,1307
46248.0,46248.0,12823.0,2912.0,1139.0,16720
1937570.0,1937570.0,289010.0,67657.0,35804.0,426522
11049.0,11049.0,3496.0,1052.0,350.0,4801
97493.0,97493.0,28414.0,7585.0,2737.0,37964
2922.0,2922.0,714.0,220.0,83.0,1025
7142.0,7142.0,1760.0,396.0,161.0,2253
55808.0,55808.0,14036.0,3921.0,1548.0,21671
35232.0,35232.0,8151.0,1321.0,611.0,9170
20917.0,20917.0,5754.0,1294.0,503.0,7243
15902.0,15902.0,4866.0,1297.0,514.0,6610
24133.0,24133.0,6636.0,1566.0,600.0,9016
40878.0,40878.0,11047.0,3235.0,1181.0,16595
14539.0,14539.0,4135.0,908.0,357.0,5142
1308.0,1308.0,548.0,132.0,56.0,725
45591.0,45591.0,14219.0,3422.0,1213.0,19101
43144.0,43144.0,10316.0,2687.0,1095.0,13923
15029.0,15029.0,4162.0,1044.0,431.0,5622
106727.0,106727.0,29554.0,7180.0,2704.0,42295
8729.0,8729.0,2616.0,596.0,235.0,3213
109826.0,109826.0,30577.0,6377.0,2584.0,37762
89786.0,89786.0,19719.0,5071.0,2129.0,25559
126348.0,126348.0,27506.0,8300.0,3350.0,40351
11481.0,11481.0,3540.0,718.0,279.0,4296
9338.0,9338.0,2350.0,665.0,260.0,3128
81643.0,81643.0,23568.0,4574.0,1920.0,28704
99696.0,99696.0,18260.0,6567.0,2857.0,30103
23920.0,23920.0,7584.0,2003.0,811.0,10741
39944.0,39944.0,13278.0,3808.0,1223.0,19534
145864.0,145864.0,35452.0,6983.0,3125.0,46518
20184.0,20184.0,6049.0,1573.0,559.0,8592
14307.0,14307.0,4828.0,1164.0,401.0,6495
21899.0,21899.0,6950.0,2212.0,731.0,11012
15795.0,15795.0,4033.0,1175.0,448.0,5651
45668.0,45668.0,12362.0,3139.0,1197.0,16559
15392.0,15392.0,4545.0,1263.0,489.0,5839
726.0,726.0,192.0,56.0,22.0,275
13397.0,13397.0,4191.0,1038.0,407.0,5144
8832.0,8832.0,2557.0,623.0,216.0,3488
16428.0,16428.0,5424.0,1295.0,553.0,7258
92560.0,92560.0,23972.0,6716.0,2631.0,33175
8315.0,8315.0,2516.0,677.0,285.0,3520
34223.0,34223.0,9262.0,2173.0,873.0,12494
6556.0,6556.0,1958.0,359.0,149.0,2587
9864.0,9864.0,2740.0,592.0,254.0,3503
82764.0,82764.0,24819.0,5992.0,2524.0,32526
49208.0,49208.0,13542.0,2782.0,1323.0,17165
26447.0,26447.0,6771.0,1716.0,670.0,9060
8591.0,8591.0,2155.0,407.0,181.0,2690
15876.0,15876.0,5469.0,1358.0,573.0,7452
228783.0,228783.0,62277.0,12076.0,6074.0,76314
7878.0,7878.0,2299.0,530.0,205.0,2929
16513.0,16513.0,3632.0,1409.0,542.0,5278
8991.0,8991.0,2701.0,682.0,270.0,3366
19779.0,19779.0,5041.0,1148.0,467.0,6623
705388.0,705388.0,132718.0,30840.0,13800.0,183465
23933.0,23933.0,6865.0,1875.0,699.0,9534
14523.0,14523.0,4428.0,1314.0,486.0,6081
11881.0,11881.0,3913.0,1348.0,483.0,5728
29206.0,29206.0,8822.0,2195.0,803.0,12121
20891.0,20891.0,6067.0,1610.0,593.0,8095
